Last updated on 22 Jun 2019 | 10:59:02 AM
Sr.No.~~Category~~No. of shares bid for
1~~Qualified Institutional Buyers (QIBs)~~None
1(a)~~Foreign Institutional Investors (FIIs)~~None
1(b)~~Domestic Financial Institutions(Banks/ Financial Institutions(FIs)/ Insurance Companies)~~None
1(c)~~Mutual Funds~~None
1(D)~~Others~~None
2~~Non Institutional Investors~~10,14,000
2(a)~~Corporates~~None
2(b)~~Individuals (Other than RIIs)~~10,14,000
2(c)~~Others~~None
3~~Retail Individual Investors (RIIs)~~18,000
3(a)~~Cut Off~~6,000
3(b)~~Price Bids~~12,000
None~~Total~~10,32,000