Indicator,Mar-19,Dec-18,Sep-18,Jun-18,Mar-18
Revenue Qtr Cr,7,856.5,7,958.9,231.2
Operating Expenses Qtr,1,714.20,1,566.90,1
Operating Profit Qtr Cr,791.7,1,099.50,893,760.6
Operating Profit Margin Qtr %,10.08,13.81,12.35,11.56,12.44
Other Income Qtr Cr,531.7,890.9,1,473.50,585
Depreciation Qtr Cr,0,0,0,0,0
Interest Qtr Cr,5,350.60,5,292.50,4
Profit Before Tax Qtr Cr,-2,338.30,1,440.10,1
Tax Qtr Cr,-831.7,438.3,461.8,568.7,556.4
Net Profit Qtr Cr,-1,506.60,1,001.90,964.7
Basic EPS Qtr Rs,-6.5,4.3,4.2,5.5,5.1
Net profit TTM Cr,1,720.30,4,406.40,4
Basic EPS TTM Rs,7.4,19.1,19.4,19.6,18.3